customer_sk,customer_id,customer_key,customer_name,marital_status,gender,birth_date,country,customer_create_date
8589934623,19061,AW00019061,Heather Gao,Single,Female,1957-09-07,France,2026-01-05
8589934624,19115,AW00019115,Bailey Sanchez,Married,Female,1975-04-04,United States,2026-01-05
8589934625,19329,AW00019329,Nancy Srini,Single,Female,1971-04-19,Germany,2026-01-05
8589934626,19838,AW00019838,Jared Ramirez,Married,Male,1948-04-16,United States,2026-01-05
8589934627,19845,AW00019845,Fernando Hernandez,Married,Male,1948-08-07,United States,2026-01-05
8589934628,19865,AW00019865,Hailey Butler,Married,Female,1953-08-04,United States,2026-01-05
8589934629,19955,AW00019955,Jake Gao,Single,Male,1984-05-08,Australia,2026-01-05
8589934630,20335,AW00020335,Adam Gonzales,Single,Male,1967-11-02,United States,2026-01-05
8589934631,20638,AW00020638,Thomas Collins,Single,Male,1962-02-08,,2026-01-05
8589934632,20867,AW00020867,Noah Johnson,Married,Male,1957-10-20,France,2026-01-05
8589934633,21071,AW00021071,Lindsey Pal,Single,Female,1976-01-08,United Kingdom,2026-01-05
8589934634,21787,AW00021787,Rebecca Allen,Married,Female,1954-05-15,United States,2026-01-05
8589934635,21856,AW00021856,Emmanuel Sanchez,Married,Male,1955-11-08,United Kingdom,2026-01-05
8589934636,22102,AW00022102,Eduardo Cox,Married,Male,,United States,2026-01-05
8589934637,22209,AW00022209,Cedric Shen,Married,Male,,Australia,2026-01-05
8589934638,22916,AW00022916,Raquel Romero,Married,Female,,Australia,2026-01-05
8589934639,23030,AW00023030,Aidan Jenkins,Married,Male,,United States,2026-01-05
8589934640,23090,AW00023090,Christopher Lee,Single,Male,,United States,2026-01-05
8589934641,23110,AW00023110,Mackenzie Gonzalez,Single,Female,,United States,2026-01-05
8589934642,23124,AW00023124,Cameron Wang,Single,Male,,United States,2026-01-05
8589934643,23146,AW00023146,Sarah Clark,Single,Female,,United States,2026-01-05
8589934644,23176,AW00023176,Jesse Ward,Married,Male,,United States,2026-01-05
8589934645,23272,AW00023272,Tristan Hayes,Married,Male,,United States,2026-01-05
8589934646,23772,AW00023772,Cory Raman,Married,Male,,Germany,2026-01-05
8589934647,23870,AW00023870,Elijah Henderson,Married,Male,,United States,2026-01-05
8589934648,24715,AW00024715,Kelli Nath,Single,Female,,France,2026-01-05
8589934649,24782,AW00024782,Nicole Morris,Married,Female,,United States,2026-01-05
8589934650,24880,AW00024880,Summer Chandra,Married,Female,,United Kingdom,2026-01-05
8589934651,25055,AW00025055,Erik Navarro,Married,Male,,Australia,2026-01-05
8589934652,25240,AW00025240,Ross Rana,Married,Male,,Australia,2026-01-05
8589934653,25244,AW00025244,Jay Weber,Single,Male,,Australia,2026-01-05
8589934654,25562,AW00025562,Bonnie Sharma,Married,Female,,Australia,2026-01-05
8589934655,25725,AW00025725,Chad Lal,Married,Male,,Germany,2026-01-14
8589934656,25946,AW00025946,Britta Simon,Married,Female,,Australia,2026-01-14
8589934657,25999,AW00025999,Joshua Thompson,Married,Male,,Canada,2026-01-14
8589934658,26140,AW00026140,Emily Long,Single,Female,,Australia,2026-01-14
8589934659,26389,AW00026389,Candice Zhou,Married,Female,,France,2026-01-14
8589934660,27183,AW00027183,Geoffrey Garcia,Single,Male,,Germany,2026-01-14
8589934661,27254,AW00027254,Theodore Jimenez,Married,Male,,United States,2026-01-14
8589934662,27276,AW00027276,Faith Alexander,Single,Female,,United States,2026-01-14
8589934663,27385,AW00027385,Jonathon Ramos,Married,Male,,United States,2026-01-14
8589934664,27687,AW00027687,Brandy Madan,Single,Female,,Australia,2026-01-25
8589934665,27850,AW00027850,Jason Green,Single,Male,,France,2026-01-25
8589934666,27910,AW00027910,Arturo Zhou,Married,Male,,Australia,2026-01-25
8589934667,28615,AW00028615,Jonathan Flores,Married,Male,,United States,2026-01-25
8589934668,28683,AW00028683,Mallory Munoz,Single,Female,,France,2026-01-25
8589934669,28720,AW00028720,Candice Liu,Single,Female,,Australia,2026-01-25
8589934670,29299,AW00029299,Bethany Kumar,Married,Female,,Australia,2026-01-25
8589934671,29334,AW00029334,Paige Howard,Single,Female,,United States,2026-01-25
17179869184,11243,AW00011243,Robin Alvarez,Married,Female,1963-04-08,United Kingdom,2025-10-08
17179869185,11988,AW00011988,Kathryn Chapman,Single,Female,1968-02-17,Australia,2025-10-08
17179869186,13068,AW00013068,Alexandria Morris,Single,Female,1985-02-14,United States,2025-10-12
17179869187,13509,AW00013509,Lucas Johnson,Married,Male,1943-03-04,United Kingdom,2025-10-12
17179869188,13659,AW00013659,Clayton Shan,Married,Male,1947-04-17,United States,2025-10-12
17179869189,13832,AW00013832,Priscilla Raji,Single,Female,1981-10-25,France,2025-10-12
17179869190,14064,AW00014064,Stacey Li,Single,Female,1969-12-07,Australia,2025-10-12
17179869191,14067,AW00014067,Larry Sanz,Single,Male,1967-10-18,Australia,2025-10-12
17179869192,14178,AW00014178,Katie Raje,Single,Female,1952-03-14,France,2025-10-12
17179869193,14215,AW00014215,Stacey Yang,Single,Female,1980-12-02,Australia,2025-10-12
17179869194,14242,AW00014242,Rafael Ye,Married,Male,1947-11-30,United States,2025-10-12
17179869195,14543,AW00014543,Heather Lu,Married,Female,1963-02-08,Germany,2025-10-12
17179869196,14562,AW00014562,Bryce Stewart,Married,Male,1975-10-07,United States,2025-10-12
17179869197,15133,AW00015133,Raul Rai,Married,Male,1979-01-04,Australia,2025-10-12
17179869198,15197,AW00015197,Elijah Kumar,Married,Male,1963-03-19,Canada,2025-11-02
17179869199,15559,AW00015559,Devin Flores,Married,Male,1970-05-22,Canada,2026-01-04
17179869200,15689,AW00015689,Stacey Wang,Single,Female,1950-07-06,Germany,2026-01-04
17179869201,15894,AW00015894,Joanna Gutierrez,Married,Female,1970-05-06,United States,2026-01-04
17179869202,16100,AW00016100,Jose Johnson,Single,Male,1980-03-30,United States,2026-01-04
17179869203,16499,AW00016499,Danielle Kelly,Single,Female,1981-04-15,United States,2026-01-04
17179869204,16538,AW00016538,Stacey Liang,Single,Female,1965-07-12,Germany,2026-01-04
17179869205,16675,AW00016675,Kristi Arthur,Single,Female,1970-06-13,Australia,2026-01-04
17179869206,17061,AW00017061,Brandi Alonso,Married,Female,1978-10-07,Australia,2026-01-04
17179869207,17111,AW00017111,Jenny Chande,Married,Female,1975-11-15,Germany,2026-01-04
17179869208,17135,AW00017135,Richard Edwards,Single,Male,1952-04-10,United States,2026-01-04
17179869209,17201,AW00017201,Vincent Yang,Single,Male,1951-05-21,Germany,2026-01-04
17179869210,17558,AW00017558,Ian Williams,Single,Male,1960-11-05,Canada,2026-01-04
17179869211,17647,AW00017647,Molly Lopez,Single,Female,1977-05-14,France,2026-01-04
17179869212,17757,AW00017757,Seth Hayes,Single,Male,1981-03-13,United Kingdom,2026-01-04
17179869213,17814,AW00017814,Michele Pal,Married,Female,1974-02-08,United Kingdom,2026-01-04
17179869214,18957,AW00018957,Mackenzie Lopez,Single,Female,1967-10-08,United States,2026-01-05
17179869215,19067,AW00019067,Misty Luo,Married,Female,1956-08-07,Germany,2026-01-05
17179869216,19390,AW00019390,Terrance Perez,Single,Male,1984-04-01,France,2026-01-05
17179869217,19479,AW00019479,Jessica Gray,Single,Female,1974-06-04,United Kingdom,2026-01-05
17179869218,19483,AW00019483,Michele Serrano,Married,Female,1945-03-30,United Kingdom,2026-01-05
17179869219,20064,AW00020064,Whitney Prasad,Single,Female,1982-12-03,Germany,2026-01-05
17179869220,20211,AW00020211,Scott Rodgers,Married,Male,1973-11-12,Australia,2026-01-05
17179869221,20444,AW00020444,Cara Zeng,Single,Female,1966-09-09,Australia,2026-01-05
17179869222,20912,AW00020912,Christy Hu,Married,Female,1972-05-01,Germany,2026-01-05
17179869223,20977,AW00020977,Mario Andersen,Married,Male,1958-03-22,France,2026-01-05
17179869224,21065,AW00021065,Robert Thompson,Married,Male,1984-03-02,Germany,2026-01-05
17179869225,21121,AW00021121,Garrett Reed,Single,Male,1980-07-02,France,2026-01-05
17179869226,21138,AW00021138,Kaylee Phillips,Married,Female,1978-08-22,Canada,2026-01-05
17179869227,21417,AW00021417,Gabrielle Torres,Single,Female,1980-01-01,,2026-01-05
17179869228,21467,AW00021467,David Harris,Married,Male,1952-01-31,,2026-01-05
17179869229,21640,AW00021640,Charles Cooper,Married,Male,1969-10-05,United States,2026-01-05
17179869230,21653,AW00021653,Jose Anderson,Single,Male,1968-07-03,United States,2026-01-05
17179869231,21832,AW00021832,Pedro Gill,Married,Male,1949-10-25,France,2026-01-05
17179869232,22334,AW00022334,Juan Serrano,Married,Male,,United States,2026-01-05
17179869233,22613,AW00022613,Dale Luo,Single,Male,,United Kingdom,2026-01-05
17179869234,22707,AW00022707,Haley Russell,Single,Female,,Germany,2026-01-05
17179869235,22784,AW00022784,Nicholas Jackson,Married,Male,,United States,2026-01-05
17179869236,22808,AW00022808,Ebony Suri,Single,Female,,United Kingdom,2026-01-05
17179869237,22932,AW00022932,Maurice Jai,Single,Male,,Australia,2026-01-05
17179869238,23125,AW00023125,Madeline Scott,Single,Female,,United States,2026-01-05
17179869239,23138,AW00023138,Angela Peterson,Single,Female,,United States,2026-01-05
17179869240,23143,AW00023143,Jada Phillips,Married,Female,,United States,2026-01-05
17179869241,23304,AW00023304,Jordan Simmons,Single,Male,,United States,2026-01-05
17179869242,23335,AW00023335,James Robinson,Single,Male,,United States,2026-01-05
17179869243,23564,AW00023564,Jessica Howard,Single,Female,,United States,2026-01-05
17179869244,23654,AW00023654,Alisha Wu,Married,Female,,Australia,2026-01-05
17179869245,24171,AW00024171,Jarrod Chandra,Single,Male,,Australia,2026-01-05
17179869246,24352,AW00024352,Natalie Cox,Married,Female,,United States,2026-01-05
17179869247,24630,AW00024630,Brianna Howard,Married,Female,,Canada,2026-01-05
17179869248,24835,AW00024835,Angel Morgan,Single,Male,,United Kingdom,2026-01-05
17179869249,25216,AW00025216,Rachael Raman,Single,Female,,Australia,2026-01-05
17179869250,25582,AW00025582,Leonard Luo,Married,Male,,United Kingdom,2026-01-05
17179869251,25759,AW00025759,Savannah Kelly,Single,Female,,France,2026-01-14
17179869252,25966,AW00025966,Alex Watson,Married,Male,,United States,2026-01-14
17179869253,26541,AW00026541,Alexis Butler,Married,Female,,United States,2026-01-14
17179869254,27128,AW00027128,Heather Cai,Single,Female,,France,2026-01-14
17179869255,27323,AW00027323,Michele Shan,Single,Female,,France,2026-01-14
17179869256,27440,AW00027440,Trinity Howard,Single,Female,,United States,2026-01-14
17179869257,27460,AW00027460,Grant Goel,Single,Male,,United States,2026-01-14
17179869258,27693,AW00027693,Tyrone Alvarez,Single,Male,,Australia,2026-01-25
17179869259,28138,AW00028138,Marvin Ramos,Single,Male,,Australia,2026-01-25
17179869260,28283,AW00028283,Rachel Long,Single,Female,,Canada,2026-01-25
17179869261,28555,AW00028555,Monique Serrano,Married,Female,,Germany,2026-01-25
17179869262,29168,AW00029168,Derrick Romero,Single,Male,,United States,2026-01-25
17179869263,29207,AW00029207,Katelyn James,Married,Female,,United States,2026-01-25
17179869264,29366,AW00029366,Dominic Patel,Single,Male,,United Kingdom,2026-01-25
25769803776,11334,AW00011334,Nicole Brown,Married,Female,1966-09-19,United Kingdom,2025-10-08
25769803777,11345,AW00011345,Robin Ramos,Single,Female,1962-09-09,France,2025-10-08
25769803778,11662,AW00011662,Ethan Kumar,Single,Male,1976-01-01,United States,2025-10-08
25769803779,11842,AW00011842,Justin Wilson,Single,Male,1970-04-03,United States,2025-10-08
25769803780,12402,AW00012402,Albert Moreno,Single,Male,1976-09-11,United Kingdom,2025-10-08
25769803781,12422,AW00012422,Hailey Evans,Married,Female,1959-04-22,United States,2025-10-08
25769803782,12472,AW00012472,Jeffery Zhang,Married,Male,1977-09-05,France,2025-10-08
25769803783,13035,AW00013035,Kristy Torres,Married,Female,1956-05-02,Australia,2025-10-12
25769803784,13527,AW00013527,Tonya Andersen,Married,Female,1983-01-15,Australia,2025-10-12
25769803785,13764,AW00013764,Stephanie Parker,Married,Female,1973-12-15,France,2025-10-12
25769803786,13907,AW00013907,Misty Xie,Single,Female,1976-02-19,United States,2025-10-12
25769803787,14181,AW00014181,Adriana Chandra,Married,Female,1952-05-31,Germany,2025-10-12
25769803788,14267,AW00014267,Lauren Wood,Single,Female,1981-03-12,United States,2025-10-12
25769803789,14329,AW00014329,Holly Sanchez,Single,Female,1981-07-19,United States,2025-10-12
25769803790,14626,AW00014626,Jesse Gray,Married,Male,1966-11-21,Canada,2025-10-12
25769803791,14779,AW00014779,Henry Fernandez,Single,Male,1978-03-08,France,2025-10-12
25769803792,15198,AW00015198,Lauren Watson,Married,Female,1968-09-28,United States,2025-11-03
25769803793,15569,AW00015569,Morgan Ward,Married,Female,1974-08-22,United States,2026-01-04
25769803794,15662,AW00015662,Megan Richardson,Married,Female,1965-11-21,United Kingdom,2026-01-04
25769803795,15709,AW00015709,Chelsea Prasad,Married,Female,1959-08-31,France,2026-01-04
25769803796,16145,AW00016145,Sydney Anderson,Single,Female,1965-04-23,United States,2026-01-04
25769803797,16158,AW00016158,Kathleen Gomez,Married,Female,1975-01-18,Australia,2026-01-04
25769803798,16754,AW00016754,Alex Bell,Single,Male,1978-06-04,Canada,2026-01-04
25769803799,16772,AW00016772,Morgan Parker,Married,Female,1977-07-14,Canada,2026-01-04
25769803800,17205,AW00017205,Lisa Wang,Single,Female,1962-02-08,United Kingdom,2026-01-04
25769803801,17454,AW00017454,Edward Perry,Married,Male,1965-11-08,United States,2026-01-04
25769803802,18341,AW00018341,Russell Goel,Single,Male,1981-10-31,United States,2026-01-04
25769803803,18406,AW00018406,Zachary Ross,Single,Male,1972-10-23,United States,2026-01-04
25769803804,18808,AW00018808,Gabrielle Perez,Single,Female,1961-10-24,United States,2026-01-05
25769803805,18880,AW00018880,Jarrod Sanchez,Married,Male,1946-09-04,United States,2026-01-05
25769803806,19054,AW00019054,Arthur Alonso,Single,Male,1959-12-19,United Kingdom,2026-01-05
25769803807,19392,AW00019392,Sergio Kapoor,Single,Male,1983-08-16,United Kingdom,2026-01-05
25769803808,19440,AW00019440,Alicia Sharma,Married,Female,1974-12-23,United Kingdom,2026-01-05
25769803809,19542,AW00019542,Robert Allen,Married,Male,1965-01-17,United States,2026-01-05
25769803810,19639,AW00019639,Victor Gill,Single,Male,1985-09-12,United States,2026-01-05
25769803811,19646,AW00019646,Ian Lee,Single,Male,1985-01-01,Canada,2026-01-05
25769803812,20548,AW00020548,Phillip Rodriguez,Married,Male,1963-05-02,Germany,2026-01-05
25769803813,20881,AW00020881,Wendy Navarro,Single,Female,1978-06-03,United Kingdom,2026-01-05
25769803814,21378,AW00021378,Rebekah Diaz,Married,Female,1956-06-07,Australia,2026-01-05
25769803815,21482,AW00021482,Haley Flores,Single,Female,1955-04-07,,2026-01-05
25769803816,21596,AW00021596,Luke Wright,Married,Male,1977-01-30,United States,2026-01-05
25769803817,21764,AW00021764,Nathan Smith,Married,Male,1950-10-06,Canada,2026-01-05
25769803818,21789,AW00021789,Lauren Griffin,Married,Female,1953-12-23,United States,2026-01-05
25769803819,21820,AW00021820,Priscilla Nath,Married,Female,1973-12-05,France,2026-01-05
25769803820,22353,AW00022353,Amanda Allen,Married,Female,,Canada,2026-01-05
25769803821,22882,AW00022882,Charles Jones,Single,Male,,Canada,2026-01-05
25769803822,23273,AW00023273,Benjamin Long,Married,Male,,United States,2026-01-05
25769803823,23669,AW00023669,Sean Torres,Single,Male,,United States,2026-01-05
25769803824,24440,AW00024440,Jordyn Hughes,Married,Female,,United States,2026-01-05
25769803825,24448,AW00024448,Amanda Lopez,Married,Female,,United States,2026-01-05
25769803826,25431,AW00025431,Ann Sanchez,Single,Female,,United States,2026-01-05
25769803827,25566,AW00025566,Kristine Navarro,Married,Female,,Australia,2026-01-05
25769803828,26351,AW00026351,Emma Moore,Single,Female,,United States,2026-01-14
25769803829,26602,AW00026602,Noah Yang,Single,Male,,United States,2026-01-14
25769803830,26797,AW00026797,Marshall Hu,Single,Male,,Australia,2026-01-14
25769803831,26838,AW00026838,Cassie Shan,Single,Female,,France,2026-01-14
25769803832,26891,AW00026891,Arturo Zhang,Married,Male,,United Kingdom,2026-01-14
25769803833,27911,AW00027911,Robert Moore,Single,Male,,United States,2026-01-25
25769803834,27998,AW00027998,Ethan Lewis,Single,Male,,Canada,2026-01-25
25769803835,28241,AW00028241,Charles King,Married,Male,,United States,2026-01-25
25769803836,28826,AW00028826,Jack Sharma,Married,Male,,United States,2026-01-25
25769803837,29063,AW00029063,Alan Liang,Single,Male,,Australia,2026-01-25
34359738368,11454,AW00011454,Melinda Navarro,Single,Female,1979-10-20,Australia,2025-10-08
34359738369,11574,AW00011574,Karla Luo,Single,Female,1971-01-14,United Kingdom,2025-10-08
34359738370,11582,AW00011582,Claudia Ma,Single,Female,1974-04-09,France,2025-10-08
34359738371,11634,AW00011634,Samuel Collins,Married,Male,1977-12-10,United States,2025-10-08
34359738372,11673,AW00011673,Susan Ye,Single,Female,1977-02-03,United States,2025-10-08
34359738373,11810,AW00011810,Antonio Washington,Single,Male,1978-01-03,United States,2025-10-08
34359738374,11843,AW00011843,Christy Nara,Single,Female,1975-11-08,United States,2025-10-08
34359738375,12328,AW00012328,Eugene Zhao,Single,Male,1955-09-15,United Kingdom,2025-10-08
34359738376,12390,AW00012390,Denise Martinez,Single,Female,1983-09-14,Germany,2025-10-08
34359738377,12846,AW00012846,Bridget Nara,Single,Female,1970-01-03,Germany,2025-10-12
34359738378,12873,AW00012873,Mandar Samant,Single,Female,1980-03-17,United Kingdom,2025-10-12
